Tweet ID,Full Text
1226878630040457218,😱😱😱 https://t.co/Y0iruNas6P
1231819701501800450,@TimOBrien https://t.co/4Qc3wx3WJ9
1231926322223550466,"Corona virüsü, Irak'ta https://t.co/7vgECkaq3i"
1233579281122578432,"@AiaiOlympus @Reneeme14 @mmpadellan The CDC said it for him. And no, that isn't panic. If you are stuck in a local outbreak or a large quarantine you will need enough supplies to protect yourself and family. You will not be warned. They can't warn people or they would run. Please take care of yourself"
1223837741777145856,Con todo esto del coronavirus se me están yendo las ganas de ir de vacaciones 😑
1226069820107612160,"Of course, here's the tweets he's been awarded for: https://t.co/s6PjNNMgKV"
1228726516353101829,"San Diego Declares Emergency Over Coronavirus In 'Abundance Of Caution' via @KPBSnews
https://t.co/vO1fnZEHam 
#US #CA #SD #coronavirus #Covid19 #2019nCoV #virus #health #healthcare #medicine #science #research #travel #travellers #economy #RegionalSecurity #WHO"
1230673193129652227,"@shivam_china Go to Wuhan and prove you won't get infected then!
Their Virus ""escaped"" from their Lab, in Wuhan...
Their Virus! https://t.co/fxrHcu5zDu"
1230571004906364928,@RealSnipDeal @clif_high I see the irony for Antabuse for corona...
1231898394089619457,"Al supermercato le persone stanno facendo le scorte. 
La tizia davanti a me aveva anche altra pasta (in tutto 38 pacchi), e legumi e tonno.
#coronavirus #nientepanico 😅 https://t.co/75ugRrG9v4"
1226910398575775747,@ESPNNBA hopefully you start asking the hard questions about China and the NBA https://t.co/1BeBGlxcXm
1229111193945755648,"@espn @TheRea1DJones this ain’t it, enjoy the fake trophy &amp; 5 min of fame. We’ll see you in the Euroleague or China in 2 years. https://t.co/h1IoNxIpZo"
1226416077900537857,"#coronavirus, più vittime della #Sars https://t.co/yDvQIwoSYD https://t.co/KoIrjKw1qK"
1225640007903236103,EU: archives • Credit Suisse Wealth Report: There Are More Poor People In America Than There Are In China | Forbes 2015 https://t.co/D76Ppb5KNz https://t.co/7uqqK5ajcs
1225324812345565184,"Ich fühle mich leicht veralbert. NUR weil irgendwer meint, Knoblauch hilft gegen #Coronavirus, manipulieren die jetzt an der Anzeige herum? https://t.co/K34jkzCFXr"
1227176439713153026,@WHO @WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOAFRO @WHOEMRO #TWforWHO @WHO
1225268483614793731,Will they test the rest of the passengers? I'm guessing not and will wait for symptoms or 14 days to release them. https://t.co/mHUy17J8ue
1228423958590038016,The latest The Connection DC! https://t.co/DQtRcrT3yY #coronavirus
1223951638144208896,"China stop eating everything that moves 🙄🙄🙄
#coronovirusoutbreak https://t.co/szLGHg9Wu3"
1224560365599629315,KKKKKKKKKKKKKKKKK https://t.co/7AoWmt1aNL
1223966780521009152,Semangaattt para ilmuwaaaannn!!!! https://t.co/8RhNfmfQPY
1225848375205146626,"Novel coronavirus has infected more than 31,400 people globally: List of cases https://t.co/bBmrIJjfmm https://t.co/wbt3yJ4Pv0"
1230006809873788928,"@RealSexyCyborg For real though, our racist ass country is actually avoiding ""Chinese food"" because of this whole Wuhan virus thing."
