Tweet ID,Mask Sentiment,Language,Source File
1221613293590196224,Unrelated,English,2020-01_general
1223273367001677825,Unrelated,English,2020-01_general
1223178413554274305,Unrelated,English,2020-01_general
1222180221304086529,Unrelated,English,2020-01_general
1222296464715472896,Unrelated,English,2020-01_general
1219909331589582848,Unrelated,English,2020-01_general
1221479148746674177,Unrelated,English,2020-01_general
1220772037721034753,Unrelated,English,2020-01_general
1221735095851085824,Unrelated,English,2020-01_general
1219959552004775936,Unrelated,English,2020-01_general
1220800320466378752,Unrelated,English,2020-01_general
1221096195520548864,Unrelated,English,2020-01_general
1222456751187951616,Unrelated,English,2020-01_general
1221247247444250624,Unrelated,English,2020-01_general
1221810141349023744,Unrelated,English,2020-01_general
1222268163502432256,Unrelated,English,2020-01_general
1223061467617849344,Not Sure,Other,2020-01_general
1223218411444088833,Not Sure,Other,2020-01_general
1220809394558046210,Unrelated,English,2020-01_general
1221386263703326720,Unrelated,English,2020-01_general
1223145177792909312,Unrelated,English,2020-01_general
1220380806675345410,Unrelated,English,2020-01_general
1221991838707355648,Unrelated,English,2020-01_general
1222185433360162817,Unrelated,English,2020-01_general
1222176394098233351,Unrelated,English,2020-01_general
1220177939616002048,Unrelated,English,2020-01_general
1222815227412197376,Unrelated,English,2020-01_general
1222084723473862657,Unrelated,English,2020-01_general
1222199923464003584,Unrelated,English,2020-01_general
1221490004872114176,Unrelated,English,2020-01_general
1220723331114176518,Unrelated,English,2020-01_general
1221948730900959238,Unrelated,English,2020-01_general
1222658224546930689,Not Sure,Other,2020-01_general
1223073514900443136,Unrelated,English,2020-01_general
1222401004961968128,Unrelated,English,2020-01_general
1220890428636946432,Unrelated,English,2020-01_general
1220413817055842306,Unrelated,English,2020-01_general
1220381749798109190,Unrelated,English,2020-01_general
1223181048386899969,Unrelated,English,2020-01_general
1220947042089889793,Unrelated,English,2020-01_general
1222017754263359488,Unrelated,English,2020-01_general
1223069971032543232,Unrelated,English,2020-01_general
1220612561294385156,Unrelated,English,2020-01_general
1223200728078045184,Unrelated,English,2020-01_general
1221411126677655552,Unrelated,English,2020-01_general
1222511368248545282,Not Sure,Other,2020-01_general
1220465144750379015,Unrelated,English,2020-01_general
1221754341607870465,Unrelated,English,2020-01_general
1221904069188558852,Unrelated,English,2020-01_general
1222468200262139905,Unrelated,English,2020-01_general
1221887586425360388,Unrelated,English,2020-01_general
1221090110680305665,Unrelated,English,2020-01_general
1222826087840915457,Unrelated,English,2020-01_general
1222176911343923206,Unrelated,English,2020-01_general
1221543966224588802,Unrelated,English,2020-01_general
1220795726478946306,Unrelated,English,2020-01_general
1220967185000157184,Unrelated,English,2020-01_general
1222077681811980288,Unrelated,English,2020-01_general
1222392772872687616,Unrelated,English,2020-01_general
1222214841395548160,Unrelated,English,2020-01_general
1222231790313787392,Unrelated,English,2020-01_general
1220699444783435776,Unrelated,English,2020-01_general
1221871106187046912,Unrelated,English,2020-01_general
1221686856976424960,Unrelated,English,2020-01_general
1221089191590674432,Not Sure,Multiple,2020-01_general
1223176459843403776,Unrelated,English,2020-01_general
1222736873157734401,Unrelated,English,2020-01_general
1223026593729335298,Unrelated,English,2020-01_general
1220932094060367874,Unrelated,English,2020-01_general
1221306546207879168,Unrelated,English,2020-01_general
1222076063066382336,Unrelated,English,2020-01_general
1221943399831437317,Unrelated,English,2020-01_general
1223041240201080832,Unrelated,English,2020-01_general
1223307473265840128,Unrelated,English,2020-01_general
1220837035793096709,Unrelated,English,2020-01_general
1223372888192872450,Unrelated,English,2020-01_general
1222053352395149314,Unrelated,English,2020-01_general
1221681590213857280,Unrelated,English,2020-01_general
1221936408803172353,Unrelated,English,2020-01_general
1222864650569682944,Unrelated,English,2020-01_general
1222234900071419909,Unrelated,English,2020-01_general
1223096424633552897,Not Sure,Other,2020-01_general
1222109529619329025,Unrelated,English,2020-01_general
1220805577896603650,Unrelated,English,2020-01_general
1221314021804007424,Unrelated,English,2020-01_general
1222762682593529856,Unrelated,English,2020-01_general
1222052946252189696,Unrelated,English,2020-01_general
1221423225797779456,Unrelated,English,2020-01_general
1222287575580200960,Unrelated,English,2020-01_general
1221549135263748096,Unrelated,English,2020-01_general
1221966197337411584,Unrelated,English,2020-01_general
1223069236014219264,Unrelated,English,2020-01_general
1222578694528520192,Unrelated,English,2020-01_general
1220545360558321664,Unrelated,English,2020-01_general
