Tweet ID,Full Text,Mask Sentiment,Language,Source File
1221613293590196224,"@tjrobison123 @CNN To put things in context (without diminishing importance of being aware about #ncov2019, a.k.a. #WuhanCoronaVirus) ... here are the current US stats about another common coronavirus (FLU) https://t.co/LZa23jXHeX",Unrelated,English,2020-01_general
1223273367001677825,"Coronavirus has now infected almost 10,000, including three in Canada https://t.co/Ni29F6Eo2i",Unrelated,English,2020-01_general
1223178413554274305,"Prof. Francis Boyle discusses the coronavirus outbreak in Wuhan &amp; the Biosafety Level 4 laboratory (BSL-4) from which he believes the infectious disease escaped--believes the virus is an offensive biological warfare weapon 
https://t.co/q0yx8F4V1l",Unrelated,English,2020-01_general
1222180221304086529,#Nigeria: Infectious disease specialist discusses Nigeria’s preparedness against Coronavirus https://t.co/QCq4sHLHmk,Unrelated,English,2020-01_general
1222296464715472896,"Australian lab first outside of China to re-create coronavirus, helping vaccine push       https://t.co/hdU2vC9u70 via @abcnews",Unrelated,English,2020-01_general
1219909331589582848,"nCoV: Health Dept issues alert in state, screening begins at Kochi airport https://t.co/t22cIfXQ9v #mathrubhumi",Unrelated,English,2020-01_general
1221479148746674177,Oh you're a libertarian? Name every strain of coronavirus. https://t.co/B9ihO04IDp,Unrelated,English,2020-01_general
1220772037721034753,"UPDATED: Local companies, hospitals taking precautions around #coronavirus while stocks take a hit over increased fears the deadly virus could continue spreading globally https://t.co/IN1KWdpJ9c https://t.co/i5bHXCwUAc",Unrelated,English,2020-01_general
1221735095851085824,"An expert at China's National Health Commission said rural areas were a “weak link” in controling the virus. “Our rural population has no experience in combating SARS…Their awareness of epidemic prevention is still low.”
@joshchin @TByGraceZhu
https://t.co/MMAk029ghc",Unrelated,English,2020-01_general
1219959552004775936,"Novel Coronavirus 2019 Situation Summary, Wuhan, China | CDC https://t.co/zSk92ZnI4r",Unrelated,English,2020-01_general
1220800320466378752,Ohio Health Officials Make Ruling On Coronavirus: Patch PM https://t.co/yemJueOXEN,Unrelated,English,2020-01_general
1221096195520548864,"@RepAdamSchiff @realDonaldTrump @WhiteHouse @congressdotgov @DNC @GOP @SenateGOP 
There is a much bigger crisis than the FF coronavirus.  The USA MUST URGENTLY FIND A CURE for SCHITT'S DIARRHEA OF THE MOUTH! https://t.co/N1fpBX8TZK",Unrelated,English,2020-01_general
1222456751187951616,"@mssheilakimani Was issued on Monday. 

No specific place mentioned 

https://t.co/RVfN6fJYz8",Unrelated,English,2020-01_general
1221247247444250624,"Officially 'rona season here in Toronto 🍻 ,, coronavirus season that is...🦠 https://t.co/DxvjorkHZH",Unrelated,English,2020-01_general
1221810141349023744,"If you not in the stock market yet, now is not a bad time to start looking. Coronavirus is dropping stock prices. Who knows how far they will drop",Unrelated,English,2020-01_general
1222268163502432256,Germany Confirms 3 More Coronavirus Cases; Human-To-Human Transmission Suspected | Zero Hedge https://t.co/ONLXJvFSvF,Unrelated,English,2020-01_general
1223061467617849344,Tal vez Paty ya despertó. Mientras que seguimos siendo una batería humana. https://t.co/poP9axOvnO,Not Sure,Other,2020-01_general
1223218411444088833,"@florenciaok #Coronavirus ""Hay personas que vienen a la ciudad y que han viajado a China. Esperamos más afluencia de gente para la próxima semana ya que los festejos del Año Nuevo chino se postergaron"", dijo @AnaUmpi, directora de Epidemiología de la @munirosario https://t.co/imeRgwdSl6 https://t.co/5G9lqQeGiQ",Not Sure,Other,2020-01_general
1220809394558046210,Two in France that traveled to China have tested pos for Wuhan Pneumonia-one in Bordeaux the other in Paris,Unrelated,English,2020-01_general
1221386263703326720,Japan: Flight readied for Japanese to come home from Wuhan https://t.co/Qs9JnWIZKf,Unrelated,English,2020-01_general
1223145177792909312,they're beyond stupid 😢 https://t.co/d3OQPLPFYQ,Unrelated,English,2020-01_general
1220380806675345410,Shhhh... be quiet and do it! Especially when you haven’t done anything yet! The Epidemic of Mass Crybabies needs to End,Unrelated,English,2020-01_general
1221991838707355648,Delivery #robots connected via #WeChat deliver food to quarantined guests in a Hangzhou hotel. #coronavirus https://t.co/1imQUpMgRd,Unrelated,English,2020-01_general
1222185433360162817,Ohio health officials investigating 2 possible cases of coronavirus https://t.co/rMbH9fkxzj,Unrelated,English,2020-01_general
1222176394098233351,"If you can dodge a wrench, you can dodge coronavirus https://t.co/WrAIWo5ql9",Unrelated,English,2020-01_general
1220177939616002048,@badiucao The first thing we see on TV or online is the latest news about the epidemic,Unrelated,English,2020-01_general
1222815227412197376,"Classic mom
Me: tells her I don't feel well, I think I have fever. 
My mom: you're just using the virus outbreak as an excuse to slack off, you're not the only person who works hard.",Unrelated,English,2020-01_general
1222084723473862657,"To all of overseas customers: 
 
Concerning infectious disease, the main epidemic situation is only in Wuhan, which is https://t.co/Q0yp9GUxj6",Unrelated,English,2020-01_general
1222199923464003584,I just got infected with #coronavirus,Unrelated,English,2020-01_general
1221490004872114176,Some people be racist as fuck to asians rn because of the Wuhan virus but is this really the time you wanna piss us off? Really? When we can just? Cough???? 😷🥱🦠,Unrelated,English,2020-01_general
1220723331114176518,"24-1-2020 23:00

1st #WuhanCoronavirus confirmed case in Nepal.

Turkey sent Wuhan woman back to China.

#2019nCoV https://t.co/MO9BcydIGf",Unrelated,English,2020-01_general
1221948730900959238,Coronavirus: China puts millions in lockdown amid rising deaths https://t.co/cVQjFJcytX via @YouTube,Unrelated,English,2020-01_general
1222658224546930689,"Ya ALLAH,.
Myanmar si Tukang Bunuh Muslim aje, sangat Sayang pd Rakyatnya.
Mrk gak ingin Rakyatnya Mati, pdhl Mrk begitu Mudah Membunuh.
Kok Indonesia Meneng Bae
Itu NYAWA
NYAWA yg gkda di JUAL DIMANAPUN
Gimana klo Kluarga Pejabat nanti dapat KARMAnya,
Sudah SIAP?
Sama2 NYAWA@ https://t.co/DbZr46nGKl",Not Sure,Other,2020-01_general
1223073514900443136,@null US State Dept warning on China: 'Do Not Travel'  The State Department announced   https://t.co/qh5NjJH7le,Unrelated,English,2020-01_general
1222401004961968128,I’m just tryna crack open a coronavirus  with the boys,Unrelated,English,2020-01_general
1220890428636946432,@RealMattCouch deep state roll-played the #coronarovirus outbreak - at a Bill Gates summit -  suggesting we MUST turn off all social media tech platforms... virus patented in Oct. vaccine ready Jan. follow the money on this one... it’s an #EpsteinIsland distraction https://t.co/8Z8E0dw5om,Unrelated,English,2020-01_general
